# Rayleigh ZZ
# 75710 station pairs
# Periods:                         2.5   20.0
# lat1    lon1   lat2    lon2    ttime  ttime std
48.2443 17.7898 48.8331 12.6421    nan 109.18 0.1
47.9108 11.2213 46.8381 13.6711    nan  64.80 0.1
46.1597 17.2897 46.9945 11.9796    nan 121.94 0.1
48.8199 14.3095 45.3443 12.3182    nan 119.65 0.1
46.0549 10.5140 48.1182  8.5502    nan  82.42 0.1
47.4419  9.4559 46.4530 10.5789    nan  41.28 0.1
46.4722  9.3473 46.8128 13.4803    nan  96.37 0.1
44.1122  8.0662 47.4457 15.0856    nan 186.99 0.1
47.2205 11.2087 47.4301 13.7610    nan  57.63 0.1
46.0892 11.1648 46.5254 12.7139    nan  37.65 0.1
47.8952  8.8468 46.6203 10.2636    nan  53.05 0.1
47.2944  9.4918 46.3264 10.7838    nan  43.66 0.1
45.3251 14.4828 46.4861 12.5074  74.08  57.32 0.1
47.7122  8.2526 46.5256 18.2647    nan 224.70 0.1
46.3174 13.9999 46.2987 10.5510    nan  78.22 0.1
47.0211 10.7291 47.6837 11.0034  28.17    nan 0.1
46.4722  9.3473 46.8647 13.1946    nan  90.79 0.1
47.9797 11.7188 45.6225  8.3610    nan 109.17 0.1
47.3357 11.5763 46.5762 13.3901    nan  48.28 0.1
48.6348 14.7326 45.3660  8.8338    nan 171.25 0.1
46.0108 15.6245 46.3176 11.0921    nan 102.25 0.1
47.0211 10.7291 46.9463 18.4820    nan 173.97 0.1
45.7636 10.1171 46.7566 15.8254    nan 131.87 0.1
46.2601 12.7104 47.0211 10.7291    nan  51.90 0.1
45.2926 13.8167 46.4474 11.6404    nan  60.74 0.1
46.8703  8.4249 44.0260 10.4821    nan 108.50 0.1
46.9676  8.6371 48.4470 18.3359    nan 216.21 0.1
46.8159 14.0074 45.1026 17.5139    nan  95.65 0.1
46.4481 16.2504 46.7260 10.6853    nan 125.32 0.1
48.7163 15.5288 48.8331 12.6421    nan  59.18 0.1
46.9676  8.6371 48.5379 12.9455    nan 104.95 0.1
46.9463 18.4820 46.5068 10.9028    nan 170.01 0.1
45.5464 14.0143 46.1468 10.8060    nan  73.44 0.1
47.6040 15.5860 48.6348 14.7326    nan  37.42 0.1
44.8784 15.6231 45.8808 11.1884    nan 106.42 0.1
47.8102  9.5221 45.6198 12.6210    nan 100.65 0.1
46.6407 11.3551 46.0603 11.7500  24.59    nan 0.1
44.5279 15.7644 46.2408 12.9877    nan  84.73 0.1
47.0784 13.3447 46.2192 10.7364    nan  65.60 0.1
46.6203 10.2636 46.9520 17.1486    nan 157.70 0.1
47.0378 11.7090 48.0152 18.3525    nan 150.82 0.1
45.9218  9.0417 45.5090 16.0507    nan 156.09 0.1
46.4352  8.1105 47.4313 17.9238    nan 226.34 0.1
