# Rayleigh ZZ (syntest)
#
# Periods:                        8.0 
# lat1    lon1   lat2    lon2    ttime
43.0049 12.9046 43.1148 10.9026  47.05
43.0049 12.9046 43.1210 10.5732    nan
43.0049 12.9046 43.2097 11.1562  41.18
43.0049 12.9046 43.2630 12.5246  11.53
43.0049 12.9046 43.2732 10.6579    nan
43.0049 12.9046 43.3756 13.1954  12.72
43.0049 12.9046 43.4262  9.8920  72.22
43.0049 12.9046 43.4731 11.2902  39.93
43.0049 12.9046 43.4764 10.5787  55.99
43.0049 12.9046 43.5236 11.2458  41.45
43.0049 12.9046 43.6189 11.9517  28.31
43.0049 12.9046 43.6486 12.2386  24.50
43.0049 12.9046 43.7219 10.5250  59.21
43.0049 12.9046 43.7744 11.2551  44.46
43.0049 12.9046 43.7956 10.9795  50.73
43.0049 12.9046 43.9377 12.4451  30.35
43.0049 12.9046 43.9410 12.8402  28.24
43.0049 12.9046 44.0498  9.8537    nan
43.0049 12.9046 44.0543 11.3585  47.57
43.0049 12.9046 44.0775 11.7073  41.65
43.0049 12.9046 44.1594 10.3864  68.43
43.0049 12.9046 44.1678 11.1229  54.40
43.0049 12.9046 44.3162  9.5174  90.31
43.0049 12.9046 44.3242  8.3459 117.60
43.0049 12.9046 44.3509 10.9765  59.98
43.0049 12.9046 44.4818 16.5313    nan
43.0049 12.9046 44.5359 10.5961  70.93
43.0049 12.9046 44.6608 11.4363  58.03
43.0049 12.9046 44.8873 10.8987  71.60
43.0049 12.9046 44.8939  9.9098    nan
43.0049 12.9046 45.0125 16.9069    nan
43.0049 12.9046 45.0167 12.0335  62.33
43.0049 12.9046 45.0840 14.9106  75.59
43.0049 12.9046 45.1026 17.5139    nan
43.0049 12.9046 45.1074 10.4817  83.07
43.0049 12.9046 45.1286 16.2664  93.24
43.0049 12.9046 45.1371  9.3837    nan
43.0049 12.9046 45.2380  8.2885    nan
43.0049 12.9046 45.2926 13.8167  69.35
43.0049 12.9046 45.3082 11.1724  77.64
43.0049 12.9046 45.3135 10.6628  85.29
43.0049 12.9046 45.3148 15.8050  92.21
43.0049 12.9046 45.3443 12.3182  72.46
43.0049 12.9046 45.3617 11.6739  74.82
43.0049 12.9046 45.4056  9.9307  98.73
43.0049 12.9046 45.5043 15.2518  89.92
43.0049 12.9046 45.5090 16.0507    nan
